group_id,group_domain,control_id,control_name,sub_domain,description,type,function,risk_level,objective,key_challenges,strategic_risks,deployment_exposure_context,use_case_scope,mapped_failure_ids,rationale_summary,mapped_compensation_ids,observations
CRT-G-01,Data Security and Privacy,CRT-C-0001,Data Classification Framework,Information Classification & Handling,"Structured method to categorise information assets (Public, Internal, Confidential etc.) ensuring proportional protection by sensitivity and operational impact.",Common,Preventative,Moderate,Provide consistent basis for applying controls aligned to data value and exposure risk.,"Misclassification, inconsistent enforcement, metadata gaps.","Data leakage, insider misuse, regulatory exposure.",Hybrid (on-prem + SaaS); moderate interdependence risk; governance fragmentation possible without central registry.,Personal → SME → Enterprise.,FM-012;FM-018;FM-022;FM-023;FM-024,Classification errors or governance gaps cause mis-labelling and control drift; metadata loss reduces enforcement consistency.,CRT-N-0037;CRT-N-0038;CRT-N-0061;CRT-N-0062;CRT-N-0063;CRT-N-0064,Foundational control; metadata consistency is vital for downstream DLP and retention accuracy.
CRT-G-01,Data Security and Privacy,CRT-C-0002,Data Encryption (At Rest),Data Protection – At Rest,Protects stored data through cryptographic methods that prevent unauthorised disclosure or tampering on physical or virtual media.,Common,Preventative,High,Preserve confidentiality and integrity of data at rest across systems and devices.,"Key management complexity, performance impact, legacy storage compatibility.","Data breach, loss of customer trust, compliance penalties.","Applies to on-prem servers, cloud storage, and portable devices; requires alignment with encryption standards and HSM policies.",Personal → Enterprise.,FM-001;FM-008;FM-014;FM-020;FM-032,"Encryption fails if keys are mishandled, algorithms outdated, or governance reviews lapse.",CRT-N-0038;CRT-N-0039;CRT-N-0061;CRT-N-0064,Essential baseline control; encryption efficacy depends on secure key lifecycle management.
CRT-G-01,Data Security and Privacy,CRT-C-0003,Data Encryption (In Transit),Data Protection – In Transit,"Ensures confidentiality and integrity of data while moving across networks through TLS, VPN, and secure protocols.",Common,Preventative,High,"Prevent interception, man-in-the-middle attacks, and tampering during transmission.","Certificate management, deprecated protocol use, misconfigured endpoints.","Information disclosure, session hijacking, data manipulation.",All connectivity models; critical for remote and cloud services where data crosses untrusted networks.,Personal → SME → Enterprise.,FM-001;FM-010;FM-016;FM-032,Weak encryption during transit exposes data via integration drift or cryptographic deprecation.,CRT-N-0034;CRT-N-0062;CRT-N-0071;CRT-N-0075,Complementary to encryption at rest; requires ongoing certificate and protocol governance.
CRT-G-01,Data Security and Privacy,CRT-C-0004,Endpoint Data Loss Prevention (DLP),Data Loss Prevention,Monitors and controls data movement from endpoints to external devices or cloud services to prevent unauthorised exfiltration.,Supplemental,Detective / Preventative,High,Identify and block risky data transfers in real time while supporting business operations.,"False positives, user workarounds, policy complexity.","Unnoticed data leakage, shadow IT usage, privacy breach.",Endpoint and hybrid work environments; visibility must extend to BYOD and remote agents.,SME → Enterprise.,FM-005;FM-011;FM-012;FM-013;FM-024;FM-026;FM-035;FM-036,DLP mis-tags or user fatigue undermine endpoint protection and enforcement coverage.,CRT-N-0061;CRT-N-0062;CRT-N-0063;CRT-N-0077;CRT-N-0079,Enhances classification controls; effectiveness depends on clear policy definition and user training.
CRT-G-01,Data Security and Privacy,CRT-C-0005,Data Integrity Monitoring,Data Integrity & Change Control,"Implements checksum, hashing, and change-control mechanisms to detect unauthorised data alteration or corruption.",Common,Detective,Moderate,Ensure accuracy and authenticity of stored or transmitted data.,"Integration with existing systems, alert fatigue, limited coverage of unstructured data.","Data tampering, fraud, loss of audit integrity.",Applicable across hybrid environments; monitoring should cover critical data repositories and APIs.,SME → Enterprise.,FM-001;FM-005;FM-008;FM-018;FM-020;FM-024;FM-036;FM-037;FM-043,Gaps in logging or late detection obscure tampering and distort integrity metrics.,CRT-N-0038;CRT-N-0039;CRT-N-0061;CRT-N-0063;CRT-N-0079;CRT-N-0080,Complements encryption controls by detecting unauthorised modification post-access.
CRT-G-01,Data Security and Privacy,CRT-C-0006,Data Retention and Destruction Policies,Data Lifecycle & Disposition,Defines how long data is kept and how it is securely deleted once no longer needed to reduce legal and operational exposure.,Common,Preventative / Corrective,Moderate,Minimise risk through controlled retention cycles and verifiable destruction methods.,"Inconsistent policy application, backup retention gaps, jurisdictional requirements.","Over-retention, data spillage from legacy systems, non-compliance with privacy laws.",Hybrid storage models; requires alignment with records-management and legal retention policies.,Personal → SME → Enterprise.,FM-001;FM-012;FM-018;FM-022;FM-024;FM-041,Out-of-date or mis-applied retention rules leave residual sensitive data or hinder recovery.,CRT-N-0037;CRT-N-0038;CRT-N-0064;CRT-N-0066;CRT-N-0067,Supports “privacy by design”; critical for demonstrable compliance and data minimisation.
CRT-G-02,Access and Identity Security,CRT-C-0007,Multi-Factor Authentication (MFA),Identity Assurance,"Requires two or more independent authentication factors to verify user identity, reducing credential-based compromise.",Common,Preventative,High,Strengthen identity assurance and limit exploitation of stolen or weak credentials.,"User friction, inconsistent rollout, legacy-system compatibility.","Credential theft, privilege escalation, unauthorised access.",Cloud and hybrid environments; essential for remote and privileged accounts.,Personal → SME → Enterprise.,FM-003;FM-004;FM-006;FM-015;FM-025;FM-026;FM-038;FM-041,"MFA weakens through token reuse, poor policy alignment, or federation mis-validation.",CRT-N-0053;CRT-N-0054;CRT-N-0055;CRT-N-0056;CRT-N-0057,Baseline access-control safeguard; strongest when paired with adaptive authentication.
CRT-G-02,Access and Identity Security,CRT-C-0008,Fine-Grained Authorisation,Authorisation & Entitlement Control,"Enforces role-, attribute-, or context-based permissions to restrict actions to the minimum necessary.",Supplemental,Preventative,High,"Prevent privilege misuse through precise, condition-aware access logic.","Policy sprawl, rule conflicts, dynamic-context evaluation overhead.","Excessive privilege, insider abuse, regulatory non-compliance.",Enterprise and cloud platforms; critical where APIs expose granular functions.,SME → Enterprise.,FM-005;FM-006;FM-011;FM-015;FM-016;FM-038,Overlapping or unreviewed access rules create privilege creep and loss of least-privilege control.,CRT-N-0053;CRT-N-0055;CRT-N-0057;CRT-N-0071,Core component of zero-trust architecture; depends on accurate identity context.
CRT-G-02,Access and Identity Security,CRT-C-0009,Federation and External User Management,Federated Identity Governance,Establishes trust and governance for third-party and federated identities across multiple domains or organisations.,Contextual,Preventative / Detective,Moderate,Enable secure collaboration while maintaining consistent authentication and audit control.,"Identity-provider misalignment, token-lifetime management, contractual oversight.","Supply-chain exposure, cross-domain breach propagation, loss of identity integrity.","Common in hybrid cloud and multi-tenant ecosystems; relies on federation standards (OAuth, SAML, OIDC).",SME → Enterprise.,FM-003;FM-005;FM-009;FM-013;FM-015;FM-025;FM-038;FM-042,Extends zero-trust boundaries externally; demands rigorous token and claim validation. Federation de-provisioning eliminates dormant partner credentials.,CRT-N-0023;CRT-N-0053;CRT-N-0054;CRT-N-0055;CRT-N-0056,Extends zero-trust boundaries externally; demands rigorous token and claim validation.
CRT-G-02,Access and Identity Security,CRT-C-0010,Privileged Access Management (PAM),Privileged Access Governance,"Governs, monitors, and audits administrative and high-privilege accounts to prevent misuse or compromise.",Common,Preventative / Detective,Critical,Restrict and record privileged actions through controlled elevation and session management.,"Tool complexity, credential vault maintenance, integration overhead.","Catastrophic system takeover, data breach, compliance failure.",Hybrid and cloud infrastructures; essential for administrative and service accounts.,SME → Enterprise.,FM-003;FM-005;FM-006;FM-011;FM-015;FM-016;FM-021;FM-038;FM-041,High-impact privileges demand consistent review; audit or ownership lapses invite escalation misuse.,CRT-N-0053;CRT-N-0055;CRT-N-0057;CRT-N-0060;CRT-N-0068,Central pillar of access governance; enables forensic replay and continuous monitoring.
