data_id,data_name,definition,data_tier,classification_level,data_category,environment,description,examples,propagation_rules,confidentiality_impact,integrity_impact,availability_impact,mapped_control_ids
CRT-D-0001,Product Information,General product or service descriptions intended for external access,Public,Public,Product Information,Public Web,General product or service descriptions intended for external access,"Product pages, documentation excerpts",Public _ CDN _ Web _ Analytics,low,low,low,CRT-C-0003; CRT-C-0016
CRT-D-0002,Marketing Content,Externally-available non-sensitive content to support brand visibility,Public,Public,Marketing Content,Public Web,Externally-available non-sensitive content to support brand visibility,"Blog posts, marketing assets",Public _ Web _ Social _ Archival,low,low,low,CRT-C-0003; CRT-C-0016
CRT-D-0003,Operational Logs,Machine-generated logs used for troubleshooting and performance visibility,Internal,Internal,Operational Logs,Prod / Internal,Machine-generated logs used for troubleshooting and performance visibility,"API logs, job execution logs",Service _ Log Agent _ SIEM,medium,medium,medium,CRT-C-0049; CRT-C-0005; CRT-C-0065; CRT-C-0006
CRT-D-0004,Configuration Data,Internal configuration for non-critical systems,Internal,Internal,Configuration Data,Prod,Internal configuration for non-critical systems,"Feature flags, service configs",App _ Config Store _ Deployment,medium,medium,medium,CRT-C-0065; CRT-C-0005; CRT-C-0049; CRT-C-0006
CRT-D-0005,Workflow Metadata,Describes process flow but does not contain sensitive data,Internal,Internal,Workflow Metadata,Internal Apps,Describes process flow but does not contain sensitive data,"Ticket status, workflow IDs",App _ Database _ Reporting,medium,medium,medium,CRT-C-0008; CRT-C-0065; CRT-C-0049; CRT-C-0006
CRT-D-0006,Employee Data,Personal information requiring protection under privacy obligations,Confidential,Confidential,Employee Data,HR Systems,Personal information requiring protection under privacy obligations,"HR profiles, payroll, employment history",HR _ Identity _ Payroll _ Archival,high,medium,medium,CRT-C-0002; CRT-C-0003; CRT-C-0008; CRT-C-0039; CRT-C-0011; CRT-C-0049; CRT-C-0006
CRT-D-0007,Customer Contact Data,Identifying data used to support customer engagement,Confidential,Confidential,Customer Contact Data,CRM,Identifying data used to support customer engagement,"Names, emails, contact history",CRM _ Support _ Reporting,high,medium,medium,CRT-C-0002; CRT-C-0003; CRT-C-0008; CRT-C-0039; CRT-C-0049; CRT-C-0006
CRT-D-0008,Access Logs,Logs that record access attempts and authentication events,Confidential,Confidential,Access Logs,Prod,Logs that record access attempts and authentication events,"Auth logs, SSO events",Auth _ SIEM _ Analytics,high,medium,medium,CRT-C-0049; CRT-C-0017; CRT-C-0005; CRT-C-0065; CRT-C-0006
CRT-D-0009,API Payload Data,Structured requests or responses containing sensitive business data,Confidential,Confidential,API Payload Data,Prod,Structured requests or responses containing sensitive business data,"Transactions, case files",Client _ API _ Service _ Store,high,medium,medium,CRT-C-0002; CRT-C-0003; CRT-C-0019; CRT-C-0008; CRT-C-0049; CRT-C-0006
CRT-D-0010,Financial Records,Internal finance data subject to confidentiality or regulatory oversight,Confidential,Confidential,Financial Records,Back-Office,Internal finance data subject to confidentiality or regulatory oversight,"Invoices, ledger records",ERP _ Finance _ Archive,high,medium,medium,CRT-C-0002; CRT-C-0003; CRT-C-0039; CRT-C-0008; CRT-C-0049; CRT-C-0006
CRT-D-0011,Vendor Operational Data,Information exchanged with external partners for operations,Confidential,Confidential,Vendor Operational Data,Vendor Integrations,Information exchanged with external partners for operations,"Job files, schedules",Vendor _ DMZ _ Processor,high,medium,medium,CRT-C-0002; CRT-C-0003; CRT-C-0025; CRT-C-0026; CRT-C-0027; CRT-C-0028; CRT-C-0029; CRT-C-0030; CRT-C-0049; CRT-C-0006
CRT-D-0012,Analytics Outputs,Model inputs/outputs that derive from confidential data,Confidential,Confidential,Analytics Outputs,Analytics,Model inputs/outputs that derive from confidential data,"Feature sets, scoring, derived data",Data Lake _ Analytics _ Dashboard,high,medium,medium,CRT-C-0002; CRT-C-0003; CRT-C-0005; CRT-C-0065; CRT-C-0049; CRT-C-0006
CRT-D-0013,Authentication Secrets,"Credentials, tokens, secrets, and secure parameters",Restricted,Restricted,Authentication Secrets,Identity Systems,"Credentials, tokens, secrets, and secure parameters","API keys, refresh tokens",Vault _ Service _ Memory,high,high,medium,CRT-C-0010; CRT-C-0012; CRT-C-0002; CRT-C-0003; CRT-C-0049; CRT-C-0065
CRT-D-0014,Encryption Keys,Cryptographic materials used for signing or encryption,Restricted,Restricted,Encryption Keys,HSM,Cryptographic materials used for signing or encryption,"HSM keys, signing certs",HSM _ Service _ Enclave,high,high,medium,CRT-C-0002; CRT-C-0003; CRT-C-0065; CRT-C-0049; CRT-C-0005
CRT-D-0015,Protected Health Information,Health or medical data with strict confidentiality obligations,Restricted,Restricted,Protected Health Information,Healthcare Systems,Health or medical data with strict confidentiality obligations,"Care records, treatment notes",EMR _ Analytics _ Archive,high,high,medium,CRT-C-0002; CRT-C-0003; CRT-C-0008; CRT-C-0039; CRT-C-0049; CRT-C-0006
