failure_id,failure_name,category,likelihood,severity,description,indicative_signals,rationale,notes
FM-001,Misconfiguration,Human / Operational,Medium,Medium,Control settings incorrectly implemented or inconsistent with baseline; recurring deviation after updates.,Configuration drift detected; repeated deviations from baseline; rollback events increasing.,"Configuration drift reflects unmanaged change, indicating control execution is inconsistent or bypassed.","Configuration baselines, segmentation policies, and continuous monitoring reduce setup drift and inconsistent enforcement."
FM-002,Patch Lag,Process / Technical,High,Medium,Delay in applying security updates or firmware; exposure window widened.,Patch backlog > threshold; recurring “out-of-date” alerts; known CVEs unpatched.,Patch backlog exposes systems to known vulnerabilities and signals weak update discipline.,Integrated vulnerability and patch workflows minimise exposure from delayed updates.
FM-003,Credential Theft,Human / Technical,High,High,"Compromise of credentials through phishing, malware, or reuse across systems.",Multiple failed logins followed by success; anomalous geolocation; MFA bypass events.,Abnormal login patterns or MFA bypass attempts suggest compromised credentials in use.,"Strong credential hygiene, adaptive authentication, and mobile safeguards reduce theft probability."
FM-004,Token Reuse / MFA Fatigue,Technical,Medium,High,Over-used or easily phished multi-factor tokens; push-fatigue exploitation.,Excessive push notifications; repeated MFA prompts ignored; token reuse in logs.,Repetitive MFA prompts and reused tokens imply user fatigue or token interception risk.,Multi-factor rotation and contextual authorisation detect fatigue or replay attempts.
FM-005,Insider Misuse,Human,Low,High,Legitimate access abused for unauthorised activity or data exfiltration.,Data access outside normal hours; privileged downloads; abnormal copy activity.,Irregular data-access events imply misuse of legitimate privileges or insider activity.,Behavioural analytics and physical access logging constrain privileged misuse.
FM-006,Privilege Escalation,Technical,Medium,High,Unauthorised increase in access level due to flawed permissions or exploits.,Sudden role changes; privilege escalation alerts; ACL modifications without ticket.,Sudden privilege changes without justification indicate potential escalation or control gaps.,Privilege lifecycle governance limits unauthorised elevation paths.
FM-007,Misaligned Logging,Process / Technical,Medium,Medium,"Critical events not captured, parsed, or correlated; gaps in audit trail.",Missing or truncated logs; gaps in time sequence; uncorrelated alert spikes.,Missing or incomplete logs prevent detection and post-incident analysis.,Unified telemetry and anomaly detection ensure high-fidelity event capture.
FM-008,Backup Corruption,Technical,Low,High,"Backups damaged, encrypted, or unverified; restoration integrity uncertain.",Backup verification errors; checksum mismatches; failed restore tests.,Failed restore or checksum errors show backups may be unusable during recovery.,Environmental isolation and redundancy validation protect restoration integrity.
FM-009,Vendor Dependency Failure,Organisational / Supply Chain,Medium,High,Third-party outage or compromise impacts dependent internal controls.,Third-party outage notices; SLA breach alerts; dependency-chain failures.,Vendor service disruptions or SLA breaches highlight over-reliance on third parties.,Multi-vendor oversight and tested recovery plans reduce single-point-of-failure risk.
FM-010,API Exploit / Integration Drift,Technical,Medium,High,Vulnerability introduced through evolving inter-system communication.,API errors after update; schema mismatch; integration heartbeat failures.,Integration failures or API drift reveal insecure inter-system dependencies.,Secure API gateways and integration governance detect unauthorised calls or schema drift.
FM-011,Shadow IT Deployment,Human / Organisational,Medium,Medium,Unauthorised tools or services bypass governance and monitoring.,Unregistered SaaS traffic; unmanaged endpoints; unknown DNS calls.,Unmanaged tools indicate poor asset governance and hidden exposure points.,Awareness programs and asset inventories expose unsanctioned applications.
FM-012,Data Classification Error,Process,High,Medium,Incorrect or missing sensitivity tagging leads to mis-handled data.,Files missing sensitivity labels; inconsistent metadata; DLP mis-tags.,Inconsistent data labelling undermines confidentiality and DLP effectiveness.,Enforced classification policy and device tagging mitigate unlabelled data flow.
FM-013,Third-Party Data Leakage,Supply Chain,Medium,High,Data exposure via external partner platform or integration point.,External file-sharing detected; data found on partner domains; leakage alerts.,External file sharing or partner leaks point to insufficient third-party safeguards.,Vendor assessments and integrated response protocols contain cross-boundary leaks.
