lr_id,obligation_name,obligation_description,mapped_control_ids,severity,evidence_required,jurisdiction,source_reference_examples
LR-GOV-001,Governance of Security & Resilience,"Maintain governance arrangements for oversight of cyber, technology, and operational resilience risks.",CRT-C-0037,High,"Governance charters, board minutes",EU;Singapore;UK,DORA Art.17; MAS TRM Ch.3; PRA SS1/21
LR-GOV-002,Roles & Responsibilities Definition,"Define and maintain clear roles, responsibilities, and accountability for security and resilience activities.",CRT-C-0037;CRT-C-0040,Medium,"RACI matrices, role documents",Global,ISO27001 A.5; NIST CSF GV
LR-GOV-003,Board-Level Reporting,"Provide senior leadership with regular security, risk, and resilience reporting.",CRT-C-0040,Medium,"Reports, dashboards",US;UK,SEC 229.106; PRA SS1/21
LR-RISK-001,Technology & Cyber Risk Identification,"Identify risks affecting systems, data, and critical services on a continuing basis.",CRT-C-0038,High,Risk registers,EU,NIS Art.16; DORA Art.18
LR-RISK-002,Risk Assessment Process,Maintain a structured process for assessing security and resilience risks.,CRT-C-0038;CRT-C-0048,Medium,Risk assessments,Global;US,ISO27001 A.8; FFIEC CAT
LR-RISK-003,Dependency & Supply-Chain Risk Mapping,Identify key internal and external dependencies supporting critical services.,CRT-C-0018;CRT-C-0022;CRT-C-0025;CRT-C-0048,Medium,Dependency maps,UK;EU,PRA SS1/SS2; DORA Art.28
LR-TEST-001,Regular Controls Testing,Perform regular testing to validate effectiveness of security and resilience controls.,CRT-C-0048,High,"Test schedules, results",Singapore;EU,MAS TRM 8; DORA Art.23
LR-TEST-002,Scenario-Based Testing,Perform scenario exercises covering severe but plausible disruptions.,CRT-C-0048;CRT-C-0050,High,Scenario logs,UK;EU,PRA SS2/21; DORA TLPT Guidelines
LR-TEST-003,Independent Assessment,Conduct independent reviews or audits of the security and resilience environment.,CRT-C-0040,Medium,Audit reports,EU;US,NIS Art.18; FFIEC Examination
LR-INC-001,Incident Classification Criteria,Define criteria to classify incidents based on impact and severity.,CRT-C-0050;CRT-C-0042,High,Classification scheme,EU;US,DORA Art.20; NIST IR
LR-INC-002,Timely Regulatory Notification,Notify relevant authorities of significant incidents within required timeframes.,CRT-C-0042,High,Incident notifications,EU;US;Singapore,GDPR 33; SEC 4-day rule; MAS TRM 5
LR-INC-003,Incident Impact Reporting,"Provide reports including impact, remediation, and lessons learned for significant incidents.",CRT-C-0053,Medium,Post-incident reports,EU;US,DORA Art.21; FFIEC IR
LR-INC-004,Internal Escalation & Communication,Maintain internal escalation and communication procedures for cyber and operational incidents.,CRT-C-0050;CRT-C-0054,Medium,Escalation records,UK;EU;Global,PRA; DORA; ISO27035
LR-BCP-001,Business Continuity Planning,Maintain continuity arrangements to support core services during disruptions.,CRT-C-0018;CRT-C-0060;CRT-C-0062,High,BCP plans,EU;Singapore,DORA Art.32; MAS TRM 13
LR-BCP-002,Disaster Recovery Capabilities,Ensure disaster recovery capabilities for critical systems are maintained and periodically validated.,CRT-C-0060;CRT-C-0062,High,DR test evidence,Global;EU,ISO27001 A.17; DORA Art.32
LR-BCP-003,Impact Tolerance Definition,Define acceptable levels of disruption for key services and ensure supporting controls align.,CRT-C-0038;CRT-C-0048,High,Impact tolerance documents,UK,PRA SS2/21
LR-BCP-004,Crisis Communication,Maintain reliable mechanisms for communication during operational disruptions.,CRT-C-0054;CRT-C-0061,Medium,Crisis communication plans,EU,DORA; NIS
LR-ID-001,Privileged Access Oversight,Maintain oversight and monitoring of privileged access usage.,CRT-C-0010;CRT-C-0059,High,"Access logs, review notes",Global;Singapore,PCI DSS 7-8; MAS TRM 9
LR-ID-002,User Access Governance,Review and validate user access rights regularly for appropriateness.,CRT-C-0011;CRT-C-0008,Medium,Access review logs,Global;US,ISO27001 A.5; FFIEC
LR-ASSET-001,Asset Inventory Obligations,Maintain an inventory of technology assets supporting key services.,CRT-C-0057,Medium,Asset registers,Global;US,CAIQ; FFIEC; ISO27001 A.8
LR-DATA-001,Data Protection Measures,Ensure appropriate measures exist for protecting sensitive or critical data.,CRT-C-0002;CRT-C-0003;CRT-C-0005,High,Technical control evidence,EU;Global,GDPR Art.32; ISO27001 A.10
