policy_id,policy_name,description,mapped_control_ids,mapped_standard_ids,status,policy_sections
POL-DS-01,Data Security & Privacy Policy,"Governance for data protection, privacy, and data lifecycle security.",CRT-C-0001;CRT-C-0002;CRT-C-0003;CRT-C-0004;CRT-C-0005;CRT-C-0006;CRT-C-0039,STD-0027;STD-0028;STD-0029;STD-0030;STD-0031;STD-0035;STD-0036;STD-0037;STD-0038;STD-0057,Active,Information Classification & Handling; Data Protection - At Rest; Data Protection - In Transit; Data Loss Prevention; Data Integrity & Change Control
POL-IAM-01,Identity & Access Management Policy,"Governance for identity lifecycle, access control, and authentication.",CRT-C-0007;CRT-C-0008;CRT-C-0009;CRT-C-0010;CRT-C-0011;CRT-C-0012;CRT-C-0045,STD-0011;STD-0012;STD-0013;STD-0014;STD-0015;STD-0016;STD-0034;STD-0039;STD-0040;STD-0057,Active,Access Control; Privileged Access; Authentication & MFA; Identity Lifecycle Management; Session Management
POL-AM-01,Asset & Technology Management Policy,Governance for asset management and secure technology operations.,CRT-C-0013;CRT-C-0014;CRT-C-0015;CRT-C-0016;CRT-C-0017;CRT-C-0018;CRT-C-0019;CRT-C-0043;CRT-C-0056;CRT-C-0057;CRT-C-0065,STD-0025;STD-0026;STD-0027;STD-0056,Active,Asset Inventory; Configuration Management; Technology Hardening; Secure Disposal; Shadow IT Management
POL-LM-01,"Logging, Monitoring & Detection Policy","Governance for monitoring, detection, and alerting.",CRT-C-0049;CRT-C-0017;CRT-C-0051;CRT-C-0052;CRT-C-0032;CRT-C-0034;CRT-C-0036;CRT-C-0065,STD-0017;STD-0018;STD-0019;STD-0020,Active,Security Monitoring; Log Management; SIEM/SOC Operations; Alerting & Detection
POL-NET-01,Network & Infrastructure Security Policy,Governance for network and infrastructure protection.,CRT-C-0013;CRT-C-0014;CRT-C-0015;CRT-C-0016;CRT-C-0017;CRT-C-0018;CRT-C-0047;CRT-C-0065,STD-0032;STD-0033;STD-0021,Active,Network Segmentation; Boundary Protection; Firewall & IPS Management; Cloud Security Baselines
POL-SD-01,Secure Software Development Policy,Governance for secure coding and SDLC-related controls.,CRT-C-0019;CRT-C-0020;CRT-C-0021;CRT-C-0022;CRT-C-0023;CRT-C-0024,STD-0021;STD-0022;STD-0023;STD-0024;STD-0045;STD-0046;STD-0047;STD-0048;STD-0055,Active,SDLC Governance; Code Security; Dependency & Library Management; Build Pipeline Security; DevSecOps Integration
POL-TP-01,Third-Party & Supply Chain Security Policy,Governance for vendor and supply chain security obligations.,CRT-C-0022;CRT-C-0025;CRT-C-0026;CRT-C-0027;CRT-C-0028;CRT-C-0029;CRT-C-0030;CRT-C-0041,STD-0041;STD-0042;STD-0043;STD-0044,Active,Vendor Security Requirements; SaaS Risk Management; Critical Supplier Oversight; Contractual Controls
POL-IR-01,Incident Response Policy,"Governance for incident reporting, analysis, and coordinated response.",CRT-C-0049;CRT-C-0050;CRT-C-0051;CRT-C-0052;CRT-C-0053;CRT-C-0054;CRT-C-0061;CRT-C-0042,STD-0010;STD-0020,Active,Incident Classification; Reporting Requirements; Triage & Investigation; Forensics Support; Communications & Escalation
POL-BC-01,Business Continuity & Disaster Recovery Policy,"Governance for continuity, resilience, and disaster recovery.",CRT-C-0018;CRT-C-0060;CRT-C-0061;CRT-C-0062,STD-0049;STD-0050;STD-0051;STD-0056,Active,Backup Strategy; Recovery Objectives; Disaster Recovery Procedures; Service Continuity Controls
POL-GOV-01,Security Governance & Risk Management Policy,"Governance for risk oversight, accountability, and assurance.",CRT-C-0037;CRT-C-0038;CRT-C-0040;CRT-C-0041;CRT-C-0042;CRT-C-0043;CRT-C-0044;CRT-C-0046;CRT-C-0048;CRT-C-0063;CRT-C-0064,STD-0001;STD-0002;STD-0003;STD-0004;STD-0005;STD-0006;STD-0007;STD-0008;STD-0009;STD-0010;STD-0054,Active,Governance Principles; Roles & Responsibilities; Oversight Mechanisms; Security Risk Assessment; Control Assurance & Reviews
POL-PHY-01,Physical Security Policy,Governance for physical access and environmental protection.,CRT-C-0055;CRT-C-0056;CRT-C-0057;CRT-C-0058;CRT-C-0059;CRT-C-0060,STD-0034;STD-0032;STD-0057,Active,Facility Access Control; Physical Asset Protection; Environmental Security; Visitor Management
POL-AT-01,Awareness & Training Policy,Governance for cybersecurity awareness and training.,CRT-C-0031;CRT-C-0033;CRT-C-0035,STD-0052;STD-0053;STD-0054,Active,Cybersecurity Training; Role-Based Education; Phishing Simulation Programs; Security Culture Initiatives
