standard_id,standard_name,standard_statement,description,mapped_control_ids,mapped_policy_ids,status,standard_sections
STD-0001,Governance Alignment Standard,This standard defines mandatory requirements for governance alignment.,"This standard establishes minimum expectations and organisational requirements for governance alignment, supporting the parent policy and mapped user controls.",CRT-C-0037;CRT-C-0038;CRT-C-0040;CRT-C-0048,POL-GOV-01,Active,"Governance Objectives; Structure, Roles, and Responsibilities; Oversight, Review, and Reporting"
STD-0002,Roles & Responsibilities Standard,This standard defines mandatory requirements for roles & responsibilities.,"This standard establishes minimum expectations and organisational requirements for roles & responsibilities, supporting the parent policy and mapped user controls.",CRT-C-0037;CRT-C-0040,POL-GOV-01,Active,"Governance Objectives; Structure, Roles, and Responsibilities; Oversight, Review, and Reporting"
STD-0003,Cyber Risk Management Standard,This standard defines mandatory requirements for cyber risk management.,"This standard establishes minimum expectations and organisational requirements for cyber risk management, supporting the parent policy and mapped user controls.",CRT-C-0038;CRT-C-0048,POL-GOV-01,Active,"Governance Objectives; Structure, Roles, and Responsibilities; Oversight, Review, and Reporting"
STD-0004,Governance Review Standard,This standard defines mandatory requirements for governance review.,"This standard establishes minimum expectations and organisational requirements for governance review, supporting the parent policy and mapped user controls.",CRT-C-0037;CRT-C-0040,POL-GOV-01,Active,"Governance Objectives; Structure, Roles, and Responsibilities; Oversight, Review, and Reporting"
STD-0005,Compliance Alignment Standard,This standard defines mandatory requirements for compliance alignment.,"This standard establishes minimum expectations and organisational requirements for compliance alignment, supporting the parent policy and mapped user controls.",CRT-C-0040;CRT-C-0041;CRT-C-0042,POL-GOV-01,Active,"Governance Objectives; Structure, Roles, and Responsibilities; Oversight, Review, and Reporting"
STD-0006,Policy Lifecycle Standard,This standard defines mandatory requirements for policy lifecycle.,"This standard establishes minimum expectations and organisational requirements for policy lifecycle, supporting the parent policy and mapped user controls.",CRT-C-0037,POL-GOV-01,Active,"Governance Objectives; Structure, Roles, and Responsibilities; Oversight, Review, and Reporting"
STD-0007,Cybersecurity Strategy Standard,This standard defines mandatory requirements for cybersecurity strategy.,"This standard establishes minimum expectations and organisational requirements for cybersecurity strategy, supporting the parent policy and mapped user controls.",CRT-C-0038;CRT-C-0048,POL-GOV-01,Active,"Governance Objectives; Structure, Roles, and Responsibilities; Oversight, Review, and Reporting"
STD-0008,Risk Appetite Alignment Standard,This standard defines mandatory requirements for risk appetite alignment.,"This standard establishes minimum expectations and organisational requirements for risk appetite alignment, supporting the parent policy and mapped user controls.",CRT-C-0038;CRT-C-0048,POL-GOV-01,Active,"Governance Objectives; Structure, Roles, and Responsibilities; Oversight, Review, and Reporting"
STD-0009,Control Effectiveness Assessment Standard,This standard defines mandatory requirements for control effectiveness assessment.,"This standard establishes minimum expectations and organisational requirements for control effectiveness assessment, supporting the parent policy and mapped user controls.",CRT-C-0040;CRT-C-0048,POL-GOV-01,Active,"Governance Objectives; Structure, Roles, and Responsibilities; Oversight, Review, and Reporting"
STD-0010,Exception Management Standard,This standard defines mandatory requirements for exception management.,"This standard establishes minimum expectations and organisational requirements for exception management, supporting the parent policy and mapped user controls.",CRT-C-0040;CRT-C-0042;CRT-C-0050,POL-GOV-01;POL-IR-01,Active,"Governance Objectives; Structure, Roles, and Responsibilities; Oversight, Review, and Reporting"
