requirement_set_id,requirement_id,requirement_ref,requirement_name,requirement_text,requirement_category,requirement_subcategory,source_ref,mapped_control_ids,rationale_summary,status,notes
REQ-NIST-80053-R5,REQ-NIST-001,AC-2,Account Management,"The organization manages information system accounts, including identification, authorization, and monitoring.",Access Control,Account Management,NIST SP 800-53 Rev5 AC-2,CRT-C-0011;CRT-C-0010;CRT-C-0012,Maps to user/privileged access lifecycle controls.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-002,AC-3,Access Enforcement,The information system enforces approved authorizations for logical access to resources.,Access Control,Authorization,NIST SP 800-53 Rev5 AC-3,CRT-C-0008;CRT-C-0021;CRT-C-0014,Aligns with access governance and enforcement controls.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-003,AC-5,Separation of Duties,The organization separates duties to reduce the risk of malevolent activity without collusion.,Access Control,Separation of Duties,NIST SP 800-53 Rev5 AC-5,CRT-C-0010;CRT-C-0008,Relates to privilege segmentation and access governance.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-004,AC-6,Least Privilege,The organization employs the principle of least privilege for system access.,Access Control,Least Privilege,NIST SP 800-53 Rev5 AC-6,CRT-C-0008;CRT-C-0010;CRT-C-0011,Maps to least-privilege provisioning and access restrictions.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-005,AC-7,Unsuccessful Login Attempts,The information system enforces a limit of consecutive invalid login attempts.,Access Control,Authentication,NIST SP 800-53 Rev5 AC-7,CRT-C-0012;CRT-C-0007,Aligns to authentication monitoring and lockout controls.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-006,AU-2,Event Logging,The organization determines and logs events required for auditing.,Audit & Monitoring,Logging,NIST SP 800-53 Rev5 AU-2,CRT-C-0049,Maps to audit event capture and log configuration.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-007,AU-3,Content of Audit Records,Audit records contain sufficient detail for analysis.,Audit & Monitoring,Audit Detail,NIST SP 800-53 Rev5 AU-3,CRT-C-0049,Aligns with logging sufficiency and traceability.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-008,AU-6,Audit Review,The organization reviews and analyzes audit logs for inappropriate activity.,Audit & Monitoring,Audit Review,NIST SP 800-53 Rev5 AU-6,CRT-C-0049,Maps to audit monitoring and alert analysis.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-009,AU-8,Time Stamps,The system uses internal or external time sources for audit timestamps.,Audit & Monitoring,Logging Integrity,NIST SP 800-53 Rev5 AU-8,CRT-C-0065,Supports log integrity and temporal consistency.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-010,AU-12,Log Management,The organization centrally manages audit logs.,Audit & Monitoring,Log Management,NIST SP 800-53 Rev5 AU-12,CRT-C-0049,Maps to log retention and central monitoring tools.,Active,Public domain.
REQ-NIST-80053-R5,REQ-NIST-011,CM-2,Baseline Configuration,The organization develops and documents baseline configurations.,Configuration Management,Baselines,NIST SP 800-53 Rev5 CM-2,CRT-C-0020;CRT-C-0056;CRT-C-0057;CRT-C-0065,Maps to configuration baselines and secure defaults.,Active,Public domain.
