CRT-AS,,,,,,,,,,,,,,,,,
asset_id,asset_name,asset_type,environment,exposure_type,vendor,trust_boundary,entry_points,logical_data_classes,description,mapped_data_class_ids,mapped_control_ids,,,,,,
AS-001,Public Marketing Website,Web Application,Prod,Remote,External,Internet Boundary,HTTPS; CDN Edge,Public; WebAnalytics,Public-facing site with analytics and tracking integrations.,CRT-D-0001;CRT-D-0002;CRT-D-0043,CRT-C-0003;CRT-C-0005;CRT-C-0023;CRT-C-0017;CRT-C-0014;CRT-C-0016,,,,,,
AS-002,Customer Portal,Web Application,Prod,Remote,External,Internet Boundary,HTTPS; REST API,Customer Profiles; Behavioural Data,Authenticated customer interface exposing limited PII.,CRT-D-0007;CRT-D-0035,CRT-C-0002;CRT-C-0003;CRT-C-0004;CRT-C-0005;CRT-C-0021;CRT-C-0023;CRT-C-0017;CRT-C-0016,,,,,,
CRT-C,,,,,,,,,,,,,,,,,
group_id,group_domain,control_id,control_name,sub_domain,description,type,function,risk_level,objective,key_challenges,strategic_risks,deployment_exposure_context,use_case_scope,mapped_failure_ids,rationale_summary,mapped_compensation_ids,observations
CRT-G-01,Data Security and Privacy,CRT-C-0001,Data Classification Framework,Information Classification & Handling,"Structured method to categorise information assets (Public, Internal, Confidential etc.) ensuring proportional protection by sensitivity and operational impact.",Common,Preventative,Moderate,Provide consistent basis for applying controls aligned to data value and exposure risk.,"Misclassification, inconsistent enforcement, metadata gaps.","Data leakage, insider misuse, regulatory exposure.",Hybrid (on-prem + SaaS); moderate interdependence risk; governance fragmentation possible without central registry.,Personal → SME → Enterprise.,FM-012;FM-018;FM-022;FM-023;FM-024,Classification errors or governance gaps cause mis-labelling and control drift; metadata loss reduces enforcement consistency.,CRT-N-0037;CRT-N-0038;CRT-N-0061;CRT-N-0062;CRT-N-0063;CRT-N-0064,Foundational control; metadata consistency is vital for downstream DLP and retention accuracy.
CRT-G-01,Data Security and Privacy,CRT-C-0002,Data Encryption (At Rest),Data Protection – At Rest,Protects stored data through cryptographic methods that prevent unauthorised disclosure or tampering on physical or virtual media.,Common,Preventative,High,Preserve confidentiality and integrity of data at rest across systems and devices.,"Key management complexity, performance impact, legacy storage compatibility.","Data breach, loss of customer trust, compliance penalties.","Applies to on-prem servers, cloud storage, and portable devices; requires alignment with encryption standards and HSM policies.",Personal → Enterprise.,FM-001;FM-008;FM-014;FM-020;FM-032,"Encryption fails if keys are mishandled, algorithms outdated, or governance reviews lapse.",CRT-N-0038;CRT-N-0039;CRT-N-0061;CRT-N-0064,Essential baseline control; encryption efficacy depends on secure key lifecycle management.
CRT-D,,,,,,,,,,,,,,,,,
data_id,data_name,definition,data_tier,classification_level,data_category,environment,description,examples,propagation_rules,confidentiality_impact,integrity_impact,availability_impact,mapped_control_ids,,,,
CRT-D-0001,Product Information,General product or service descriptions intended for external access,Public,Public,Product Information,Public Web,General product or service descriptions intended for external access,"Product pages, documentation excerpts",Public _ CDN _ Web _ Analytics,low,low,low,CRT-C-0003; CRT-C-0016,,,,
CRT-D-0002,Marketing Content,Externally-available non-sensitive content to support brand visibility,Public,Public,Marketing Content,Public Web,Externally-available non-sensitive content to support brand visibility,"Blog posts, marketing assets",Public _ Web _ Social _ Archival,low,low,low,CRT-C-0003; CRT-C-0016,,,,
CRT-F,,,,,,,,,,,,,,,,,
failure_id,failure_name,category,likelihood,severity,description,indicative_signals,rationale,notes,,,,,,,,,
FM-001,Misconfiguration,Human / Operational,Medium,Medium,Control settings incorrectly implemented or inconsistent with baseline; recurring deviation after updates.,Configuration drift detected; repeated deviations from baseline; rollback events increasing.,"Configuration drift reflects unmanaged change, indicating control execution is inconsistent or bypassed.","Configuration baselines, segmentation policies, and continuous monitoring reduce setup drift and inconsistent enforcement.",,,,,,,,,
FM-002,Patch Lag,Process / Technical,High,Medium,Delay in applying security updates or firmware; exposure window widened.,Patch backlog > threshold; recurring “out-of-date” alerts; known CVEs unpatched.,Patch backlog exposes systems to known vulnerabilities and signals weak update discipline.,Integrated vulnerability and patch workflows minimise exposure from delayed updates.,,,,,,,,,
CRT-G,,,,,,,,,,,,,,,,,
group_id,group_domain,description,,,,,,,,,,,,,,,
CRT-G-01,Data Security and Privacy,"Safeguards information assets across storage, processing, and transmission environments. Focus areas: classification, encryption, retention, and confidentiality.",,,,,,,,,,,,,,,
CRT-G-02,Access and Identity,"Manages authentication, authorisation, and trust boundaries across systems, users, and devices. Includes IAM, MFA, and privilege control.",,,,,,,,,,,,,,,
CRT-I,,,,,,,,,,,,,,,,,
identity_id,name,type,zone,trust_anchor,policy_anchor,privilege_level,associated_assets,notes,source_ref,mapped_control_ids,,,,,,,
I-0001,Primary Identity Provider (IdP),service,critical,yes,MFA,high,auth-systems,Central authentication and SSO authority,baseline,CRT-C-0007; CRT-C-0008; CRT-C-0009; CRT-C-0011; CRT-C-0013,,,,,,,
I-0002,PAM Vault,service,critical,yes,hardware-token,high,privileged-accounts,Manages secrets and high-privilege credentials,baseline,CRT-C-0010; CRT-C-0012; CRT-C-0049,,,,,,,
CRT-LR,,,,,,,,,,,,,,,,,
lr_id,obligation_name,obligation_description,mapped_control_ids,severity,evidence_required,source_reference_examples,,,,,,,,,,,
LR-GOV-001,Governance of Security & Resilience,"Maintain governance arrangements for oversight of cyber, technology, and operational resilience risks.",CRT-C-0037,High,"Governance charters, board minutes",DORA Art.17; MAS TRM Ch.3; PRA SS1/21,,,,,,,,,,,
LR-GOV-002,Roles & Responsibilities Definition,"Define and maintain clear roles, responsibilities, and accountability for security and resilience activities.",CRT-C-0037;CRT-C-0040,Medium,"RACI matrices, role documents",ISO27001 A.5; NIST CSF GV,,,,,,,,,,,
CRT-N,,,,,,,,,,,,,,,,,
n_id,compensating_name,strength,implementation_notes,csf_function,csf_main_category,csf_category,csf_source_ref,,,,,,,,,,
CRT-N-0001,The organizational mission is understood and informs cybersecurity risk management,Medium,"Ex1: Share the organization's mission (e.g., through vision and mission statements, marketing, and service strategies) to provide a basis for identifying risks that may impede that mission",Govern,Organizational Context,GV.OC,GV.OC-01,,,,,,,,,,
CRT-N-0002,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered",Medium,"Ex1: Identify relevant internal stakeholders and their cybersecurity-related expectations (e.g., performance and risk expectations of officers, directors, and advisors; cultural expectations of employees)
Ex2: Identify relevant external stakeholders and their cybersecurity-related expectations (e.g., privacy expectations of customers, business expectations of partnerships, compliance expectations of regulators, ethics expectations of society)",Govern,Organizational Context,GV.OC,GV.OC-02,,,,,,,,,,
CRT-POL,,,,,,,,,,,,,,,,,
policy_id,policy_name,description,mapped_control_ids,mapped_standard_ids,status,policy_sections,,,,,,,,,,,
