requirement_set_id,requirement_id,requirement_ref,requirement_name,requirement_text,requirement_category,requirement_subcategory,source_ref,mapped_control_ids,rationale_summary,status,notes
REQ-PRA-SS121-2021,REQ-PRA-SS121-2021-001,SS1/21 Sect 2 (Paraphrased),Identify Important Business Services,Firms are expected to identify business services essential to operational continuity and set defined tolerances for their disruption.,Operational Resilience,Important Business Services,UK PRA SS1/21 (concept paraphrased),CRT-C-0018;CRT-C-0038,"Controls enable service identification, criticality assessment, and dependency mapping.",Active,Paraphrased for licensing safety.
REQ-PRA-SS121-2021,REQ-PRA-SS121-2021-002,SS1/21 Sect 3 (Paraphrased),Mapping Dependencies,"Firms should map the assets, processes, and third parties supporting important business services.",Operational Resilience,Dependencies,UK PRA SS1/21 (concept paraphrased),CRT-C-0057;CRT-C-0025;CRT-C-0027;CRT-C-0018,"Maps to asset inventory, third-party oversight, and service dependency controls.",Active,Paraphrased requirement.
REQ-PRA-SS121-2021,REQ-PRA-SS121-2021-003,SS1/21 Sect 7 (Paraphrased),Scenario Testing Expectations,Firms must test their resilience capabilities using severe but plausible scenarios.,Operational Resilience,Scenario Testing,UK PRA SS1/21 (concept paraphrased),CRT-C-0048;CRT-C-0050,"Aligns to scenario planning, resilience simulation, and disruption impact analysis.",Active,Paraphrased requirement.
REQ-MAS-TRM-2021,REQ-MAS-TRM-2021-001,TRM 5.2.3 (Paraphrased),Risk Identification for Critical Systems,Institutions should identify critical systems and assess the risks associated with their failure.,Technology Risk Management,Critical Systems,MAS TRM (concept paraphrased),CRT-C-0038;CRT-C-0057;CRT-C-0018,Maps to system classification and operational risk assessments.,Active,Paraphrased for safety.
REQ-MAS-TRM-2021,REQ-MAS-TRM-2021-002,TRM 8.1 (Paraphrased),Access Governance,Institutions must enforce governance over privileged accounts and ensure proper monitoring.,Access Management,Privileged Access,MAS TRM (concept paraphrased),CRT-C-0010;CRT-C-0059,"Maps to privileged user controls, logging, and access review processes.",Active,Paraphrased requirement.
REQ-MAS-TRM-2021,REQ-MAS-TRM-2021-003,TRM 9.3 (Paraphrased),Vendor Dependency Oversight,Institutions should evaluate third-party risks and maintain oversight of outsourced technology service providers.,Outsourcing & TPRM,Vendor Oversight,MAS TRM (concept paraphrased),CRT-C-0025;CRT-C-0026;CRT-C-0027;CRT-C-0041,"Maps to vendor assurance, contractual safeguards, and monitoring.",Active,Paraphrased requirement.
REQ-DORA-2024,REQ-DORA-2024-001,Article 12 (Paraphrased),ICT Risk Management Framework,"Financial entities shall establish and maintain a sound, comprehensive ICT risk management framework.",ICT Risk Management,Governance,DORA Article 12 (concept paraphrased),CRT-C-0037;CRT-C-0038;CRT-C-0040,Maps to ICT risk governance and monitoring structures.,Active,Paraphrased.
REQ-DORA-2024,REQ-DORA-2024-002,Article 15 (Paraphrased),Digital Operational Resilience Testing,Entities must conduct advanced testing of ICT tools and systems supporting critical functions.,Operational Resilience,Testing,DORA Article 15 (concept paraphrased),CRT-C-0048;CRT-C-0018,"Supports ICT scenario testing, dependency modelling, and resilience validation.",Active,Paraphrased requirement.
REQ-DORA-2024,REQ-DORA-2024-003,Article 28 (Paraphrased),Third-Party Risk Register,Entities must maintain a register of ICT third-party dependencies.,Outsourcing & TPRM,Dependency Register,DORA Article 28 (concept paraphrased),CRT-C-0025;CRT-C-0027;CRT-C-0041;CRT-C-0030,"Maps to vendor inventory, categorisation, and risk lifecycle management.",Active,Paraphrased requirement.
REQ-NIST-80053-R5,REQ-NIST-80053-R5-001,AC-2,Account Management,"The organization manages information system accounts, including identification, authorization, and monitoring of account activity.",Access Control,Account Management,NIST SP 800-53 Rev5,CRT-C-0011;CRT-C-0010;CRT-C-0008,Maps to privileged access lifecycle controls.,Active,Public domain wording.
REQ-NIST-80053-R5,REQ-NIST-80053-R5-002,AU-6,"Audit Review, Analysis, and Reporting",The organization reviews and analyses information system audit records for indications of inappropriate or unusual activity.,Audit & Monitoring,Audit Analysis,NIST SP 800-53 Rev5,CRT-C-0049;CRT-C-0052;CRT-C-0059,"Maps to audit log retention, monitoring, and response processes.",Active,Public domain wording.
REQ-NIST-80053-R5,REQ-NIST-80053-R5-003,CP-2,Contingency Plan,The organization develops a contingency plan for the information system.,Contingency Planning,Continuity Planning,NIST SP 800-53 Rev5,CRT-C-0062;CRT-C-0060;CRT-C-0018,Maps to business continuity and disaster recovery controls.,Active,Public domain wording.
REQ-SOGP-2023,REQ-SOGP-2023-001,SOGP-D1.1 (Fictional),Classification of Essential IT Assets,The organisation should classify essential IT assets by sensitivity and apply safeguards proportional to risk.,Information Security,Asset Classification,Fictional SoGP-style clause,CRT-C-0057;CRT-C-0001;CRT-C-0039,"Aligns to asset identification, classification, and protection controls.",Active,Synthetic / licensing-safe.
REQ-SOGP-2023,REQ-SOGP-2023-002,SOGP-D2.4 (Fictional),Secure System Engineering,Systems should be engineered with security principles embedded throughout their lifecycle.,Systems Development,Secure Engineering,Synthetic clause,CRT-C-0020;CRT-C-0021;CRT-C-0024,Maps to secure development lifecycle and design-hardening controls.,Active,Synthetic / licensing-safe.
REQ-SOGP-2023,REQ-SOGP-2023-003,SOGP-D3.2 (Fictional),Monitoring of Critical Infrastructure,Critical infrastructure components should be continuously monitored to detect abnormal conditions.,Infrastructure Security,Monitoring,Synthetic clause,CRT-C-0049;CRT-C-0017,Maps to monitoring and detection controls.,Active,Synthetic / licensing-safe.
REQ-ISO-27001-2022,REQ-ISO-27001-2022-001,A.5.12 (Synthetic),Logging Responsibilities,Organisations should define and implement logging responsibilities to detect security events.,Logging & Monitoring,Event Detection,Synthetic ISO-style,CRT-C-0049;CRT-C-0005;CRT-C-0017,"Maps to log management, monitoring, and event response.",Active,Synthetic requirement to avoid licensing.
REQ-ISO-27001-2022,REQ-ISO-27001-2022-002,A.8.1 (Synthetic),User Provisioning,User access provisioning should follow documented procedures and be regularly reviewed.,Access Control,Provisioning,Synthetic ISO-style,CRT-C-0011;CRT-C-0008,Aligns to privileged access and user lifecycle controls.,Active,Synthetic requirement.
REQ-ISO-27001-2022,REQ-ISO-27001-2022-003,A.9.4 (Synthetic),Secure Configuration,Systems should be protected through secure configuration and regular baseline validation.,Configuration Management,Hardening,Synthetic ISO-style,CRT-C-0065;CRT-C-0014;CRT-C-0056;CRT-C-0057,Maps to secure configuration and baseline management controls.,Active,Synthetic requirement.
REQ-RCSA-INT-2025,REQ-RCSA-INT-2025-001,RCSA-01,Annual Control Self-Assessment,Business units must assess the design and operating effectiveness of controls annually.,Internal Governance,Control Assurance,Internal RCSA,CRT-C-0037;CRT-C-0040;CRT-C-0048,"Maps to control governance, oversight, and testing.",Active,Internal synthetic requirement.
REQ-RCSA-INT-2025,REQ-RCSA-INT-2025-002,RCSA-05,Documented Dependencies,Teams must document critical system dependencies to support resilience planning.,Internal Governance,Dependencies,Internal RCSA,CRT-C-0018;CRT-C-0057;CRT-C-0025,Links to service dependency identification and risk mapping.,Active,Internal synthetic requirement.
